date,cases,deaths
2020-03-01,88,3
2020-03-02,104,6
2020-03-03,125,10
2020-03-04,161,12
2020-03-05,228,12
2020-03-06,311,15
2020-03-07,428,19
2020-03-08,547,22
2020-03-09,748,26
2020-03-10,1018,31
2020-03-11,1263,37
2020-03-12,1668,43
2020-03-13,2224,50
2020-03-14,2898,60
2020-03-15,3600,68
2020-03-16,4507,91
2020-03-17,5906,117
2020-03-18,8350,162
2020-03-19,12393,212
2020-03-20,18012,277
2020-03-21,24528,360
2020-03-22,33073,458
2020-03-23,43505,579
2020-03-24,53938,785
2020-03-25,68572,1054
2020-03-26,85570,1353
2020-03-27,102900,1770
2020-03-28,123966,2300
2020-03-29,142486,2718
2020-03-30,163955,3368
2020-03-31,188461,4304
